"X(1, 2)","X(1, 3)","X(1, 4)","X(2, 4)","X(2, 5)","X(3, 4)","X(3, 5)","X(4, 5)","Y(1, 2)","Y(1, 3)","Y(1, 4)","Y(2, 4)","Y(2, 5)","Y(3, 4)","Y(3, 5)","Y(4, 5)"
90,40,20,70,10,60,60,70,0,0,1,0,0,0,0,1
50,70,60,60,80,50,20,40,0,1,0,0,0,0,1,0
50,90,80,20,60,70,40,50,1,0,0,0,1,0,0,0
20,90,60,60,40,70,30,50,1,0,0,0,1,0,0,0
70,70,70,50,40,40,20,60,0,1,0,0,0,0,1,0
70,40,40,50,10,10,60,80,1,0,0,0,1,0,0,0
40,40,90,10,60,50,30,50,0,1,0,0,0,0,1,0
20,80,30,80,40,80,10,90,1,0,0,0,1,0,0,0
90,80,90,30,30,20,30,40,0,1,0,0,0,0,1,0
60,60,30,60,80,70,70,50,0,0,1,0,0,0,0,1
30,40,90,70,80,30,50,30,0,1,0,0,0,0,1,0
30,80,50,30,70,10,50,90,1,0,0,0,1,0,0,0
50,30,30,60,90,40,10,50,0,1,0,0,0,0,1,0
40,80,70,70,50,20,30,80,1,0,0,0,1,0,0,0
70,10,30,60,90,10,90,10,0,1,0,0,0,1,0,1
10,20,80,30,70,20,10,10,0,1,0,0,0,0,1,0
30,80,50,80,20,50,10,10,1,0,0,0,1,0,0,0
60,90,40,40,60,70,50,40,0,0,1,0,0,0,0,1
60,20,70,40,30,30,90,70,1,0,0,0,1,0,0,0
50,30,40,60,20,40,40,30,0,1,0,0,0,0,1,0
20,20,90,20,40,20,60,90,1,0,0,0,1,0,0,0
10,20,10,80,50,80,20,10,0,0,1,0,0,0,0,1
70,20,50,60,60,30,70,20,0,0,1,0,0,0,0,1
80,90,50,20,50,80,50,30,0,0,1,0,0,0,0,1
40,70,10,40,40,60,70,90,1,0,0,0,1,0,0,0
30,40,90,50,90,20,50,30,0,1,0,0,0,0,1,0
20,10,30,70,10,30,80,10,1,0,0,0,1,0,0,0
10,70,20,90,70,90,20,20,0,0,1,0,0,0,0,1
70,80,80,80,10,90,40,50,1,0,0,0,1,0,0,0
80,40,70,50,30,30,90,30,0,0,1,0,0,0,0,1
10,50,70,30,50,70,30,10,1,0,0,1,0,0,0,1
40,80,40,30,70,80,20,10,0,0,1,0,0,0,0,1
40,40,50,80,50,40,20,80,0,1,0,0,0,0,1,0
30,60,80,10,20,40,50,70,1,0,0,0,1,0,0,0
40,80,70,30,60,10,30,80,1,0,0,0,1,0,0,0
